Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
CS152,A,4,MWF,11:00am-11:50am,Computational Thinking: Science,Q, ,OLIN 019B,36,40,1,"Eaton, C   "
CS152 L,A,,W, 2:30pm- 3:50pm,Lab: Comp Thkg: Science,, ,DAVI 102,14,25, ,Maxwell    
CS152 L,B,,R, 1:00pm- 2:20pm,Lab: Comp Thkg: Science,, ,DAVI 102,22,25, ,Maxwell    
CS231,A,4,MWF, 9:00am- 9:50am,Data Structures and Algorithms,Q, ,DAVI 117,24,30,17,Skrien     
CS231,B,4,MWF,10:00am-10:50am,Data Structures and Algorithms,Q, ,DAVI 117,29,30,17,Skrien     
CS231 L,A,,M, 1:00pm- 2:20pm,Lab: Data Struct/Algrthm,, ,DAVI 102,16,17, ,Maxwell    
CS231 L,B,,M, 2:30pm- 3:50pm,Lab: Data Struct/Algrthm,, ,DAVI 102,11,17, ,Maxwell    
CS231 L,C,,T, 1:00pm- 2:20pm,Lab: Data Struct/Algrthm,, ,DAVI 102,13,17, ,Maxwell    
CS231 L,D,,T, 2:30pm- 3:50pm,Lab: Data Struct/Algrthm,, ,DAVI 102,13,17, ,Maxwell    
CS251,A,4,MWF, 9:00am- 9:50am,Data Analysis and Visualization,, ,DIAM 123,20,20,10,"Eaton, C   "
CS251,B,4,MWF,10:00am-10:50am,Data Analysis and Visualization,, ,LOVE 213,31,30,10,Layton     
CS251,C,4,MWF, 3:00pm- 3:50pm,Data Analysis and Visualization,, ,DIAM 344,19,20,10,"Eaton, C   "
CS251 L,A,,T, 1:00pm- 2:20pm,Lab: Data Analysis/Vis,, ,DAVI 122,18,18, ,Wolfe      
CS251 L,B,,T, 2:30pm- 3:50pm,Lab: Data Analysis/Vis,, ,DAVI 122,18,18, ,Wolfe      
CS251 L,C,,W, 1:00pm- 2:20pm,Lab: Data Analysis/Vis,, ,DAVI 122,18,18, ,Wolfe      
CS251 L,D,,W, 2:30pm- 3:50pm,Lab: Data Analysis/Vis,, ,DAVI 122,16,18, ,Wolfe      
CS333,A,4,MWF,11:00am-11:50am,Programming Languages,, ,DAVI 117,30,30,1,"Li, Ying   "
CS346,A,4,TR, 2:30pm- 3:45pm,Computational Modeling Simulation I: Interdisciplinary Science,, ,DAVI 117,24,24,0,Aaron      
CS375,A,4,MW, 1:00pm- 2:15pm,Analysis of Algorithms,, ,DAVI 117,21,30,9,Aaron      
CS431,A,4,TR, 9:30am-10:45am,Advanced Computer Networks,, ,DAVI 117,10,20,0,"Li, Ying   "
CS443,A,4,TR,11:00am-12:15pm,Computational Neuroscience,, ,DAVI 117,20,25,4,Layton     
EA150,A,4,TR, 1:00pm- 2:15pm,Foundations in East Asian Studies,H,I ,LOVE 212,18,18,6,Weitz      
EA221,A,4,MW, 2:30pm- 3:45pm,Second Language Pedagogy,, ,LOVE 302,8,20,0,"Wang, F    "
EA252,A,4,MW, 1:00pm- 2:15pm,Hell on Earth? Chinese Writers on Modern Chinese Society,L,I ,LOVE 208,20,20,9,Besio      
EA256,A,4,TR,11:00am-12:15pm,Introduction to East Asian Politics (See GO256),S, , ,0, , ,Hatch      
EA263,A,4,TR, 2:30pm- 3:45pm,Buddhism across East Asia,L, ,LOVE 103,17,20,2,Orzech     
EA273,A,4,MWF, 9:00am- 9:50am,"Survey of East Asian Art, to 1300",A, ,BIXL 154,26,25,8,Weitz      
EA298,A,4,TR, 2:30pm- 3:45pm,Taikun to Trump: A History of East Asia and the West (See HI298C),H,I , ,0, , ,Shmagin    
