Year,Month,Temp
1842,4,9.697
1842,5,13.233
1842,6,18.047
1842,7,22.087
1842,8,20.521
1842,9,-1.734
1842,10,8.968
1842,11,1.564
1842,12,-2.579
1843,1,-0.299
1843,2,-6.132
1843,3,-3.095
1843,4,7.688
1843,5,13.886
1843,6,19.624
1843,7,21.662
1843,8,21.385
1843,9,0.232
1843,10,8.443
1843,11,1.92
1843,12,-1
1844,1,-6.528
1844,2,-2.802
1844,3,2.862
1844,4,11.526
1844,5,16.139
1844,6,19.193
1844,7,21.457
1844,8,20.441
1844,9,-1.146
1844,10,9.099
1844,11,3.221
1844,12,-1.657
1845,1,-1.403
1845,2,-2.004
1845,3,4.099
1845,4,8.913
1845,5,13.932
1845,6,19.628
1845,7,22.461
1845,8,22.139
1845,9,-1.496
1845,10,10.336
1845,11,4.926
1845,12,-5.252
1846,1,-2.664
1846,2,-4.496
1846,3,2.938
1846,4,9.825
1846,5,15.503
1846,6,18.63
1846,7,21.292
1846,8,21.46
1846,9,1.496
1846,10,9.424
1846,11,6.455
1846,12,-1.576
1847,1,-2.556
1847,2,-2.094
1847,3,0.625
1847,4,7.832
1847,5,14.436
1847,6,18.849
1847,7,22.476
1847,8,20.616
1847,9,-1.541
1847,10,8.59
1847,11,5.918
1847,12,0.922
1848,1,-0.789
1848,2,-2.153
1848,3,1.359
1848,4,8.944
1848,5,15.853
1848,6,19.965
1848,7,21.164
1848,8,21.087
1848,9,-2.486
1848,10,9.847
1848,11,2.083
1848,12,1.991
1849,1,-4.96
1849,2,-5.33
1849,3,2.794
1849,4,7.571
1849,5,12.707
1849,6,19.941
1849,7,21.545
1849,8,20.897
1849,9,-1.646
1849,10,9.337
1849,11,7.442
1849,12,-1.88
1850,1,-1.301
1850,2,-0.495
1850,3,1.548
1850,4,6.179
1850,5,11.761
1850,6,19.565
1850,7,22.421
1850,8,20.14
1850,9,-1.565
1850,10,9.806
1850,11,5.43
1850,12,-1.92
1851,1,-1.802
1851,2,0.292
1851,3,3.734
1851,4,8.265
1851,5,14.085
1851,6,18.464
1851,7,21.932
1851,8,20.069
1851,9,-0.565
1851,10,11.102
1851,11,2.595
1851,12,-4.589
1852,1,-5.921
1852,2,-1.806
1852,3,1.578
1852,4,5.627
1852,5,14.724
1852,6,19.336
1852,7,22.329
1852,8,19.844
1852,9,-1.811
1852,10,11.17
1852,11,3.147
1852,12,1.99
1853,1,-2.664
1853,2,-0.8
1853,3,3.308
1853,4,8.349
1853,5,14.851
1853,6,20.74
1853,7,21.35
1853,8,21.311
1853,9,-0.41
1853,10,8.88
1853,11,5.372
1853,12,-1.766
1854,1,-3.067
1854,2,-2.648
1854,3,2.399
1854,4,7.254
1854,5,15.649
1854,6,19.873
1854,7,23.623
1854,8,21.64
1854,9,0.125
1854,10,11.456
1854,11,4.633
1854,12,-3.781
1855,1,-1.747
1855,2,-5.512
1855,3,1.315
