Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
CH342 L,A,,M, 1:00pm- 4:50pm,Lab: Physical Chemistry,, ,KEYE 205,7,6, ,Boekelheid 
CH342 L,B,,T, 1:00pm- 4:50pm,Lab: Physical Chemistry,, ,KEYE 205,9,6, ,Boekelheid 
CH368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,Johnson    
CH378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,Johnson    
CH432,A,4,MW,11:00am-12:15pm,Advanced Organic Chemistry,, ,KEYE 104,8,10,1,Katz       
CH444,A,4,M, 1:00pm- 3:30pm,Advanced Topics in Biochemistry,W3, ,KEYE 104,7,12,2,Rice       
CH494,A,1,F,11:00am-11:50am,Senior Seminar,, ,DIAM 141,17,30, ,Katz       Rice        
CH494,A,1,F, 3:00pm- 4:30pm,Senior Seminar,, ,KEYE 105,17,30, ,Katz       Rice        
CH494,B,1,F,11:00am-11:50am,Senior Seminar (Senior Seminar for Juniors),, ,DIAM 141,1,30, ,Katz       Rice        
CH494,B,1,F, 3:00pm- 4:30pm,Senior Seminar (Senior Seminar for Juniors),, ,KEYE 105,1,30, ,Katz       Rice        
CI142,A,4,TR, 2:30pm- 3:45pm,Introduction to Cinema Studies,A, ,AREY 005,24,25,3,Wurtzler   
CI142,A,4,W, 7:00pm-10:00pm,Introduction to Cinema Studies,A, ,AREY 005,24,25,3,Wurtzler   
CI252,A,4,TR,11:00am-12:15pm,History of International Cinema II,A, ,LOVE 215,12,25,7,Wurtzler   
CI252,A,4,T, 7:00pm-10:00pm,History of International Cinema II,A, ,AREY 005,12,25,7,Wurtzler   
CI298,A,4,MW, 1:00pm- 2:15pm,Digital Publishing: Telling Stories Online,, ,LOVE 302,15,15,0,"Murphy, E  "
CL133,A,3 to 4,MW, 2:30pm- 3:45pm,Greek Myth and Literature,L, ,LOVE 100,93,110,5,O'Neill    
CL234,A,4,TR, 1:00pm- 2:15pm,In Search of a Strong Man: Greece in the Fourth Century,H,I ,LOVE 212,22,30,4,"Roisman, J "
CN126,A,5,MTWRF, 9:00am- 9:50am,Elementary Chinese II,, ,LOVE 203,18,20,15,Besio      
CN128,A,4,MTWRF,10:00am-10:50am,Intermediate Chinese II,, ,LOVE 203,10,20,12,Zhang      
CN322,A,4,TR, 1:00pm- 2:15pm,Third-Year Chinese II,, ,LOVE 203,8,20,4,Zhang      
CN335,A,1,T, 7:00pm- 8:00pm,Chinese Conversation III,, ,LOVE 319,8,18, ,"Lu, H-C    "
CN450,A,4,TR, 1:00pm- 2:15pm,Chinese Short Stories,, ,LOVE 302,12,15,0,Besio      
CS151,A,4,MWF,10:00am-10:50am,Computational Thinking,Q, ,LOVE 215,41,40,9,"Taylor, St "
CS151,B,4,MWF,11:00am-11:50am,Computational Thinking,Q, ,LOVE 215,44,40,9,"Taylor, St "
CS151 L,A,,W, 1:00pm- 2:20pm,Lab: Computatnl Thinking,, ,DAVI 102,22,20, ,Maxwell    
CS151 L,B,,W, 2:30pm- 3:50pm,Lab: Computatnl Thinking,, ,DAVI 102,15,20, ,Maxwell    
CS151 L,C,,R, 1:00pm- 2:20pm,Lab: Computatnl Thinking,, ,DAVI 102,24,20, ,Maxwell    
CS151 L,D,,R, 2:30pm- 3:50pm,Lab: Computatnl Thinking,, ,DAVI 102,21,20, ,Maxwell    
CS232,A,4,MWF,10:00am-10:50am,Computer Organization,, ,DAVI 301,33,32,12,Maxwell    
CS232 L,A,,M, 2:30pm- 3:50pm,Lab: Computer Org,, ,DAVI 102,15,16, ,Maxwell    
CS232 L,B,,T, 1:00pm- 2:20pm,Lab: Computer Org,, ,DAVI 102,18,16, ,Maxwell    
CS251,A,4,MWF, 9:00am- 9:50am,Data Analysis and Visualization,, ,LOVE 215,37,40,15,"Taylor, St "
