 dat ,name,college,pos,height,weight,wonderlic,40yards,bench,leap,jump,shuttle,3cone
2014,Antonio Richardson,Tennessee,OT,78,336,NA,5.3,36,24.5,,,
2014,Cyril Richardson,Baylor,OG,77,329,NA,5.36,25,25.5,90,4.83,7.7
2014,Paul Richardson,Colorado,WR,73,175,NA,4.4,NA,38,123,,7.09
2014,Weston Richburg,Colorado State,C,75,298,NA,5.1,25,25.5,104,4.63,7.93
2014,Marcus Roberson,Florida,CB,73,191,NA,4.61,8,37.5,120,4.08,6.84
2014,Allen Robinson,Penn State,WR,74,220,NA,4.6,NA,39,126,4,7
2014,Greg Robinson,Auburn,OT,77,332,NA,4.92,32,28.5,112,4.86,7.8
2014,Bradley Roby,Ohio State,CB,71,194,NA,4.39,17,38.5,123,4.04,
2014,Richard Rodgers,California,TE,76,257,NA,4.87,16,31.5,115,4.47,7.23
2014,Michael Sam,Missouri,DE,74,261,NA,4.91,17,25.5,113,,7.8
2014,Bishop Sankey,Washington,RB,69,209,NA,4.49,26,35.5,125,4,6.75
2014,Jalen Saunders,Oklahoma,WR,69,165,NA,4.44,NA,34,122,,
2014,Tom Savage,Pittsburgh,QB,76,228,NA,4.97,NA,27,104,,
2014,Michael Schofield,Michigan,OT,78,301,NA,5.01,NA,24,92,4.57,7.62
2014,Lache Seastrunk,Baylor,RB,69,201,NA,4.51,15,41.5,134,,
2014,Austin Seferian-Jenkins,Washington,TE,77,262,NA,4.75,20,NA,,,
2014,Connor Shaw,South Carolina,QB,73,206,NA,4.66,NA,34,115,,
2014,Ryan Shazier,Ohio State,OLB,73,237,NA,4.58,25,42,128,4.21,6.91
2014,Prince Shembo,Notre Dame,OLB,73,253,NA,4.71,26,38.5,122,4.31,7.29
2014,Charles Sims,West Virginia,RB,73,214,NA,4.48,17,37.5,125,4.3,7.16
2014,Yawin Smallwood,Connecticut,ILB,74,246,NA,,18,36.5,108,,
2014,Chris Smith,Arkansas,DE,73,266,NA,4.71,28,37,121,,7.55
2014,Jerome Smith,Syracuse,RB,71,220,NA,4.84,14,36,116,4.6,7.53
2014,Marcus Smith,Louisville,DE,75,251,NA,4.68,23,35,121,,7.48
2014,Telvin Smith,Florida State,OLB,75,218,NA,4.52,NA,31.5,117,,
2014,Willie Snead,Ball State,WR,71,195,NA,4.62,11,33.5,112,4.39,7.19
2014,Daniel Sorensen,BYU,SS,73,205,NA,4.67,13,32,113,3.95,6.47
2014,Tyler Starr,South Dakota,OLB,76,250,NA,4.95,24,32,115,4.15,6.64
2014,Shamar Stephen,Connecticut,DT,77,309,NA,5.25,25,30.5,102,,
2014,Josh Stewart,Oklahoma State,WR,70,178,NA,4.69,11,35,116,4.33,7.1
2014,James Stone,Tennessee,C,76,306,NA,5.17,22,27.5,104,4.63,8.16
2014,Devin Street,Pittsburgh,WR,75,198,NA,4.55,NA,37,123,4.01,6.89
2014,Xavier Su'a-Filo,UCLA,OG,76,307,NA,5.04,25,25,101,4.44,7.6
2014,Vinnie Sunseri,Alabama,SS,71,210,NA,,18,NA,,,
2014,Will Sutton,Arizona State,DT,73,303,NA,5.36,24,28.5,99,,7.93
2014,Travis Swanson,Arkansas,C,77,312,NA,5.28,20,26,93,4.65,7.73
2014,Lorenzo Taliaferro,Coastal Carolina,RB,73,229,NA,4.58,18,33,116,4.22,6.88
2014,Brandon Thomas,Clemson,OG,75,317,NA,5.09,35,29,98,4.83,8.13
2014,DeAnthony Thomas,Oregon,RB,69,174,NA,4.5,8,32,123,,
2014,Jemea Thomas,Georgia Tech,FS,69,192,NA,4.55,19,37,124,,
2014,Logan Thomas,Virginia Tech,QB,78,248,NA,4.61,NA,35.5,116,,
2014,Robert Thomas,Arkansas,DT,73,327,NA,5.26,32,NA,,,
2014,Khyri Thornton,Southern Miss,DT,75,304,NA,5.03,28,29,111,,7.83
2014,Jordan Tripp,Montana,OLB,75,234,NA,4.67,22,37.5,120,3.96,6.89
2014,Stephon Tuitt,Notre Dame,DT,77,304,NA,4.92,31,NA,,,
2014,Billy Turner,North Dakota State,OT,77,315,NA,5.16,25,28,108,4.71,7.92
2014,Trai Turner,Louisiana State,OG,75,310,NA,4.93,25,27.5,,,
2014,George Uko,Southern California,DT,75,284,NA,4.99,18,29.5,110,,
2014,John Urschel,Penn State,OG,75,313,NA,5.31,30,29,101,4.47,7.55
2014,Kyle Van Noy,BYU,OLB,75,243,NA,4.71,21,32.5,111,4.2,7.22
2014,Dustin Vaughan,West Texas AM,QB,77,235,NA,4.95,NA,29,108,,
2014,Brock Vereen,Minnesota,SS,73,199,NA,4.47,25,34,116,4.07,6.9
2014,Jason Verrett,TCU,CB,69,189,NA,4.38,NA,39,127,4,6.69
2014,Jimmie Ward,Northern Illinois,SS,71,193,NA,4.59,9,NA,,,
2014,L'Damian Washington,Missouri,WR,76,195,NA,4.46,8,32,114,4.35,7.19
2014,Todd Washington,Southeast Louisiana,CB,71,196,NA,4.57,13,NA,,,
2014,Jaylen Watkins,Florida,CB,71,194,NA,4.41,22,NA,,,
2014,Sammy Watkins,Clemson,WR,73,211,NA,4.43,16,34,125,4.34,6.95
2014,Chris Watt,Notre Dame,OG,75,310,NA,5.5,29,NA,,,
2014,Larry Webster,Bloomsburg,DE,78,252,NA,4.58,17,36.5,123,,7.29
2014,Keith Wenning,Ball State,QB,75,218,NA,5,NA,28,99,,
2014,Terrance West,Towson,RB,69,225,NA,4.56,16,33.5,120,,
2014,Ethan Westbrooks,West Texas AM,DE,75,267,NA,4.9,19,29,110,,7.3
2014,Lavelle Westbrooks,Georgia Southern,CB,71,186,NA,4.63,15,36,121,4.27,6.98
2014,James White,Wisconsin,RB,69,204,NA,4.57,23,32,113,4.2,7.05
2014,James Wilder,Florida State,RB,75,232,NA,4.86,18,35,121,4.24,6.92
2014,Andre Williams,Boston College,RB,71,230,NA,4.56,NA,38,128,4.06,7.27
2014,Damien Williams,Oklahoma,RB,71,222,NA,4.45,16,35.5,121,4.25,7.37
2014,Avery Williamson,Kentucky,ILB,73,246,NA,4.66,25,30.5,120,4.07,
2014,Albert Wilson,Georgia State,WR,69,202,NA,4.43,10,37.5,123,4.21,7
2014,Kerry Wynn,Richmond,DE,77,266,NA,4.97,31,34,113,,7.11
2014,David Yankey,Stanford,OG,78,315,NA,5.48,22,28.5,102,4.86,7.81
2014,Jordan Zumwalt,UCLA,OLB,76,235,NA,4.76,NA,33,115,,6.99
2013,Oday Aboushi,Virginia,OT,77,308,NA,5.45,17,23.5,100,4.84,7.92
2013,Johnny Adams,Michigan State,CB,70,185,NA,4.48,16,NA,,,
2013,Robert Alford,Southeast Louisiana,CB,70,188,NA,4.39,17,40,132,4.23,6.89
2013,Zach Allen,North Carolina State,OG,74,332,NA,5.43,32,NA,,,
2013,David Amerson,North Carolina State,CB,73,205,NA,4.44,15,35.5,127,,
2013,C.J. Anderson,California,RB,68,224,NA,4.6,17,32,119,4.12,7.15
2013,Ezekial Ansah,Brigham Young,DE,77,271,NA,4.63,21,34.5,118,4.26,7.11
